"Leading.Cause","Total_Deaths"
"Diseases of Heart (I00-I09, I11, I13, I20-I51)",147551
"Malignant Neoplasms (Cancer: C00-C97)",106367
"All Other Causes",77999
"Influenza (Flu) and Pneumonia (J09-J18)",18678
"Diabetes Mellitus (E10-E14)",13794
"Chronic Lower Respiratory Diseases (J40-J47)",13214
"Cerebrovascular Disease (Stroke: I60-I69)",12941
"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",7467
"Essential Hypertension and Renal Diseases (I10, I12)",6955
"Human Immunodeficiency Virus Disease (HIV: B20-B24)",5436
"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",4284
"Alzheimer's Disease (G30)",2980
"Assault (Homicide: Y87.1, X85-Y09)",2102
"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",2086
"Chronic Liver Disease and Cirrhosis (K70, K73)",1505
"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",753
"Septicemia (A40-A41)",641
"Certain Conditions originating in the Perinatal Period (P00-P96)",197
"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",22
"Viral Hepatitis (B15-B19)",21
"Insitu or Benign / Uncertain Neoplasms (D00-D48)",5
"Aortic Aneurysm and Dissection (I71)",0
"Atherosclerosis (I70)",0
"Mental and Behavioral Disorders due to Use of Alcohol (F10)",0
"Parkinson's Disease (G20)",0
"Tuberculosis (A16-A19)",0
